车次ID,车次,站序,站名,到点,发点
1,1,0,北京南,2:50:00,2:50:00
1,1,1,廊坊,3:07:00,3:07:00
1,1,2,京津线路所,3:16:00,3:16:00
1,1,3,津沪线路所,3:17:00,3:17:00
1,1,4,天津南,3:18:00,3:18:00
1,1,5,沧州西,3:34:00,3:34:00
1,1,6,德州东,3:52:00,3:52:00
1,1,7,济南西,4:12:00,4:14:00
1,1,8,崔马庄线路所,4:20:00,4:20:00
1,1,9,泰安,4:28:00,4:28:00
1,1,10,曲阜东,4:41:00,4:41:00
1,1,11,滕州东,4:51:00,4:51:00
1,1,12,枣庄,4:57:00,4:57:00
1,1,13,徐州东,5:08:00,5:08:00
1,1,14,宿州东,5:20:00,5:20:00
1,1,15,蚌埠南,5:36:00,5:36:00
1,1,16,定远,5:46:00,5:46:00
1,1,17,滁州,5:57:00,5:57:00
1,1,18,扬州线路所,6:00:00,6:00:00
1,1,19,南京南,6:12:00,6:14:00
1,1,20,秦淮河线路所,6:17:00,6:17:00
1,1,21,镇江南,6:29:00,6:29:00
1,1,22,丹阳北,6:34:00,6:34:00
1,1,23,常州北,6:40:00,6:40:00
1,1,24,无锡东,6:50:00,6:50:00
1,1,25,苏州北,6:58:00,7:00:00
1,1,26,昆山南,7:09:00,7:09:00
1,1,27,黄渡线路所,7:15:00,7:15:00
1,1,28,上海虹桥,7:21:00,7:21:00
2,3,0,北京南,7:50:00,7:50:00
2,3,1,廊坊,8:07:00,8:07:00
2,3,2,京津线路所,8:16:00,8:16:00
2,3,3,津沪线路所,8:17:00,8:17:00
2,3,4,天津南,8:18:00,8:18:00
2,3,5,沧州西,8:34:00,8:34:00
2,3,6,德州东,8:52:00,8:52:00
2,3,7,济南西,9:12:00,9:14:00
2,3,8,崔马庄线路所,9:20:00,9:20:00
2,3,9,泰安,9:28:00,9:28:00
2,3,10,曲阜东,9:41:00,9:41:00
2,3,11,滕州东,9:51:00,9:51:00
2,3,12,枣庄,9:57:00,9:57:00
2,3,13,徐州东,10:08:00,10:08:00
2,3,14,宿州东,10:20:00,10:20:00
2,3,15,蚌埠南,10:36:00,10:36:00
2,3,16,定远,10:46:00,10:46:00
2,3,17,滁州,10:57:00,10:57:00
2,3,18,扬州线路所,11:00:00,11:00:00
2,3,19,南京南,11:12:00,11:14:00
2,3,20,秦淮河线路所,11:17:00,11:17:00
2,3,21,镇江南,11:29:00,11:29:00
2,3,22,丹阳北,11:34:00,11:34:00
2,3,23,常州北,11:40:00,11:40:00
2,3,24,无锡东,11:50:00,11:50:00
2,3,25,苏州北,11:55:00,11:55:00
2,3,26,昆山南,12:01:00,12:01:00
2,3,27,黄渡线路所,12:07:00,12:07:00
2,3,28,上海虹桥,12:13:00,12:13:00
3,5,0,北京南,0:50:00,0:50:00
3,5,1,廊坊,1:07:00,1:07:00
3,5,2,京津线路所,1:16:00,1:16:00
3,5,3,津沪线路所,1:17:00,1:17:00
3,5,4,天津南,1:21:00,1:23:00
3,5,5,沧州西,1:42:00,1:42:00
3,5,6,德州东,2:00:00,2:00:00
3,5,7,济南西,2:17:00,2:17:00
3,5,8,崔马庄线路所,2:20:00,2:20:00
3,5,9,泰安,2:28:00,2:28:00
3,5,10,曲阜东,2:41:00,2:41:00
3,5,11,滕州东,2:51:00,2:51:00
3,5,12,枣庄,2:57:00,2:57:00
3,5,13,徐州东,3:08:00,3:08:00
3,5,14,宿州东,3:20:00,3:20:00
3,5,15,蚌埠南,3:36:00,3:36:00
3,5,16,定远,3:46:00,3:46:00
3,5,17,滁州,3:57:00,3:57:00
3,5,18,扬州线路所,4:00:00,4:00:00
3,5,19,南京南,4:12:00,4:14:00
3,5,20,秦淮河线路所,4:17:00,4:17:00
3,5,21,镇江南,4:29:00,4:29:00
3,5,22,丹阳北,4:34:00,4:34:00
